"subject_id","subject_name","bill_id","_dlt_load_id","_dlt_id"
5379,"Abortion",1890418,"1739840620.744766","EcGQ6IhTuyqRgw"
5389,"Health Care Providers",1890418,"1739840620.744766","a9DQ8T3Yb4rk8A"
5379,"Abortion",1891167,"1739840620.744766","8dJ0lqhQ3us2EA"
5326,"Crimes",1891167,"1739840620.744766","k1XAsYohB4wpFw"
5327,"Crimes--Against Persons",1891167,"1739840620.744766","iGy+HaOnuFVi0A"
5342,"Crimes--Against Persons--Sexual",1891167,"1739840620.744766","GDj94VPWXSQCjA"
5379,"Abortion",1891302,"1739840620.744766","ucpzng0XibcK0Q"
5389,"Health Care Providers",1891302,"1739840620.744766","be/+HmIzHO8RTA"
5254,"Taxation",1890486,"1739840620.744766","zS/A9656zT/xjA"
5690,"Taxation--General",1890486,"1739840620.744766","CR5YQKF7/nrENA"
6023,"AUDITS & AUDITORS",1890486,"1739840620.744766","070OCIVhAqvaDQ"
5270,"COMPTROLLER OF PUBLIC ACCOUNTS",1890486,"1739840620.744766","G7ZOlYe2DuRD7g"
5349,"Civil Remedies & Liabilities",1890486,"1739840620.744766","EyUe4HpWEixeBQ"
5379,"Abortion",1890750,"1739840620.744766","obvgob+6qB8HYw"
5349,"Civil Remedies & Liabilities",1890750,"1739840620.744766","fL/UOdsRmF9tcw"
5326,"Crimes",1890750,"1739840620.744766","UgupE/+9kBJemw"
5327,"Crimes--Against Persons",1890750,"1739840620.744766","w8dtVSm9Ll3kCg"
5328,"Crimes--Against Persons--General",1890750,"1739840620.744766","kTdqkk33Hf+CWQ"
5379,"Abortion",1891953,"1739840620.744766","HL+YfL6QixL+ZQ"
5389,"Health Care Providers",1891953,"1739840620.744766","ShugPungcr1c5w"
5273,"Health",1891953,"1739840620.744766","of5P9FfeuZ8J+g"
5554,"Health--Other Diseases & Medical Conditions",1891953,"1739840620.744766","odo1Bya69Vyt3A"
5334,"Occupational Regulation",1891953,"1739840620.744766","Un5d/QAHwozRqQ"
5335,"Occupational Regulation--Health Occupations",1891953,"1739840620.744766","oOBYaAQ7mrQRqQ"
5915,"Women",1891953,"1739840620.744766","9Q0De2T4ruMshQ"
6018,"PREGNANCY & CHILDBIRTH",1891953,"1739840620.744766","YGu/ClnR4/zYiA"
5389,"Health Care Providers",1891940,"1739840620.744766","Q4mbwKnngqe2yg"
5273,"Health",1891940,"1739840620.744766","FX2xcIuxT1mEXQ"
5274,"Health--General",1891940,"1739840620.744766","hxysXrIAroHoeQ"
5734,"Health--Privacy/Use of Information",1891940,"1739840620.744766","LZM9psll5o/+kg"
6103,"ADVANCE DIRECTIVES",1891940,"1739840620.744766","4ZSXGJYx4QROKw"
6018,"PREGNANCY & CHILDBIRTH",1891940,"1739840620.744766","slp+maxLD65vJA"
5379,"Abortion",1890538,"1739840620.744766","5RmYiG+O1Af+Aw"
5326,"Crimes",1890538,"1739840620.744766","TbL2qK2IQWgQtA"
5327,"Crimes--Against Persons",1890538,"1739840620.744766","1ylqauhYbP0DHA"
5342,"Crimes--Against Persons--Sexual",1890538,"1739840620.744766","gX+fVdMBiCqVhw"
5302,"Highways",1890270,"1739840620.744766","Szjgu8lYGaphrQ"
5358,"Vehicles & Traffic",1890270,"1739840620.744766","DttOqwO9nx7dFg"
5359,"Vehicles & Traffic--Rules of Road",1890270,"1739840620.744766","MQEZv038pd+Hew"
5915,"Women",1890270,"1739840620.744766","jaWodXJmXN+Fsg"
6018,"PREGNANCY & CHILDBIRTH",1890270,"1739840620.744766","TFaXqJKkJDHFpw"
10339,"HOV & EXCLUSIVE LANES",1890270,"1739840620.744766","pW9Vz+roVZA7IA"
5273,"Health",1892984,"1739840620.744766","V50nj3wrJQTwrg"
5554,"Health--Other Diseases & Medical Conditions",1892984,"1739840620.744766","IDNF19pCakVbaQ"
5673,"BIRTH & DEATH CERTIFICATES",1892984,"1739840620.744766","KwX7r74qIfzGhQ"
6018,"PREGNANCY & CHILDBIRTH",1892984,"1739840620.744766","X0zsoIEU95nW0g"
5389,"Health Care Providers",1890725,"1739840620.744766","mqoEfidyWOi/nA"
5273,"Health",1890725,"1739840620.744766","pJCaTUCBVY5nYg"
5554,"Health--Other Diseases & Medical Conditions",1890725,"1739840620.744766","LGodNkB2Y14YmA"
5349,"Civil Remedies & Liabilities",1890725,"1739840620.744766","JsWwfQHoF6cR8w"
188136,"INFERTILITY",1890725,"1739840620.744766","UMETTLbcswSsGA"
5444,"HEALTH & HUMAN SERVICES COMMISSION",1890725,"1739840620.744766","LHpNoOVTXhLqzQ"
5403,"FAMILY PLANNING & BIRTH CONTROL",1890725,"1739840620.744766","PlkKQehRO3wGJA"
5273,"Health",1891554,"1739840620.744766","yRMG9A1CeCvIGg"
5274,"Health--General",1891554,"1739840620.744766","kA2yvs3Tgr+APg"
5334,"Occupational Regulation",1891554,"1739840620.744766","EoUfjeEbCmmjbQ"
5335,"Occupational Regulation--Health Occupations",1891554,"1739840620.744766","F1B/ofZCYfBdRA"
5403,"FAMILY PLANNING & BIRTH CONTROL",1891554,"1739840620.744766","9l1ZhJgWHdrV9Q"
5379,"Abortion",1890697,"1739840620.744766","amiww6MwSfl0pQ"
323487,"TEXAS CONTROLLED SUBSTANCES ACT",1890697,"1739840620.744766","PEE5QSs+WwRgaw"
5336,"MEDICINE & PRESCRIPTION DRUGS",1890697,"1739840620.744766","1yuFdCh8GgSAxg"
5379,"Abortion",1891604,"1739840620.744766","c9wKrWZrw8SF5w"
5693,"Holidays",1891604,"1739840620.744766","aHz4b+gc/QjD0Q"
362523,"CELEBRATION OF LIFE DAY",1891604,"1739840620.744766","Q56bKB5KbifwNg"
5379,"Abortion",1891486,"1739840620.744766","OMg+fPHdyaxy8w"
5379,"Abortion",1891754,"1739840620.744766","YWOghFhQdFIEVQ"
5349,"Civil Remedies & Liabilities",1891754,"1739840620.744766","5x6Dmkpr9xyu1Q"
5326,"Crimes",1891754,"1739840620.744766","NTi+c0FGIMYqYQ"
5454,"Crimes--Against Morals",1891754,"1739840620.744766","/zGv4Eh34u0ipw"
5345,"Electronic Information Systems",1891754,"1739840620.744766","UAqGxOJJNRHT/w"
5525,"Political Subdivisions",1891754,"1739840620.744766","V03lH4Q6RCHbXQ"
5353,"Utilities",1891754,"1739840620.744766","c5WFoyi0QfYMyg"
5651,"Utilities--Telecommunications",1891754,"1739840620.744766","ZTYwsO8p+Xv3BA"
5421,"COMPUTERS & SOFTWARE",1891754,"1739840620.744766","1Qz4ThA7/gP6Qg"
5701,"EVIDENCE",1891754,"1739840620.744766","V5wzvzGBR9yV/A"
5331,"INTERNET",1891754,"1739840620.744766","0fkYSsCMxLBedg"
5336,"MEDICINE & PRESCRIPTION DRUGS",1891754,"1739840620.744766","ebxz8VQwMqhrRw"
6036,"POSTAL SERVICE",1891754,"1739840620.744766","IXiTOB4e8XdbGA"
5514,"ATTORNEY GENERAL",1891754,"1739840620.744766","yCe2YfXoV7vtLg"
383513,"WOMEN & CHILD SAFETY ACT",1891754,"1739840620.744766","KLP7KlmL9EKXnw"
5379,"Abortion",1890527,"1739840620.744766","4JSooxyWY05Mow"
5284,"Historic Preservation & Museums",1890527,"1739840620.744766","T9BaK5oJhlp4NA"
5280,"State Agencies, Boards & Commissions",1890527,"1739840620.744766","hwHYjOIoCXLSOQ"
6694,"STATE CAPITOL BUILDING & GROUNDS",1890527,"1739840620.744766","Z9ymCY4YQq2c1Q"
321910,"STATE PRESERVATION BOARD",1890527,"1739840620.744766","greKH7nYcAhnUQ"
5389,"Health Care Providers",1890690,"1739840620.744766","qHUBJ77+7hx8ww"
5273,"Health",1890690,"1739840620.744766","A2uVCb606HNG7A"
5274,"Health--General",1890690,"1739840620.744766","vZl3n7GlKAC1qg"
5734,"Health--Privacy/Use of Information",1890690,"1739840620.744766","+Gar07Ov3xuf8g"
6103,"ADVANCE DIRECTIVES",1890690,"1739840620.744766","DhM8tmz+oL1+3g"
6018,"PREGNANCY & CHILDBIRTH",1890690,"1739840620.744766","Uh2mj4rPgnF8Kw"
5379,"Abortion",1891474,"1739840620.744766","1i+EkPJtP1/lzg"
5389,"Health Care Providers",1891474,"1739840620.744766","mk1kSXe+GYvRtQ"
5273,"Health",1891474,"1739840620.744766","yDMQdpL3/VazFw"
5554,"Health--Other Diseases & Medical Conditions",1891474,"1739840620.744766","fYawpcUljrVejQ"
5334,"Occupational Regulation",1891474,"1739840620.744766","tKeC1ESzqp5f1w"
5335,"Occupational Regulation--Health Occupations",1891474,"1739840620.744766","Ep6QILfif6GGgQ"
5915,"Women",1891474,"1739840620.744766","KVdOpBoba9ZAAQ"
6018,"PREGNANCY & CHILDBIRTH",1891474,"1739840620.744766","htE2NVWcRvS3Ww"
5379,"Abortion",1890407,"1739840620.744766","0RFaPsL0Q76u6g"
5381,"PHYSICIANS",1890407,"1739840620.744766","nV6KroeGO57bXQ"
